2021-04-22 17:46:09 - INFO    :: Thread-1 : Tautulli Config :: Writing configuration to file
2021-04-22 17:46:09 - INFO    :: Thread-1 : Tautulli PlexTV :: Using user-defined URL.
2021-04-22 17:46:09 - INFO    :: Thread-1 : Tautulli PlexTV :: Selected server: Office-PC (http://192.168.86.37:32400) (Windows - Version 1.22.1.4228-724c56e62)
2021-04-22 17:46:09 - INFO    :: Thread-1 : Tautulli Config :: Writing configuration to file
2021-04-22 17:46:09 - DEBUG   :: Thread-1 : Tautulli Monitor :: Checking for active streams.
2021-04-22 17:46:09 - INFO    :: Thread-16 : Tautulli WebSocket :: Opening websocket.
2021-04-22 17:46:09 - INFO    :: Thread-1 : Tautulli Users :: Requesting users list refresh...
2021-04-22 17:46:09 - INFO    :: Thread-16 : Tautulli WebSocket :: Ready
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Check GitHub for updates
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Optimize Tautulli database
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Backup Tautulli database
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Backup Tautulli config
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Refresh Plex server URLs
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Refresh users list
2021-04-22 17:46:09 - INFO    :: Thread-16 : Scheduled background task: Refresh libraries list
2021-04-22 17:46:10 - INFO    :: Thread-1 : Tautulli Users :: Users list refreshed.
2021-04-22 17:46:10 - INFO    :: Thread-1 : Tautulli Libraries :: Requesting libraries list refresh...
2021-04-22 17:46:11 - DEBUG   :: Thread-1 : Tautulli Pmsconnect :: No library data.
2021-04-22 17:46:11 - DEBUG   :: Thread-1 : Tautulli Pmsconnect :: No library data.
2021-04-22 17:46:11 - DEBUG   :: Thread-1 : Tautulli Pmsconnect :: No library data.
